,B,Epithelial,Macrophages,Mast,NK,Neutrophil,Plasma,T,mDC,pDC
RECQL,0.35714285714285715,0.2168284789644013,0.25146886016451236,0.15384615384615385,0.16246498599439776,0.04945717732207479,0.4074074074074074,0.3371478873239437,0.39655172413793105,0.3125
RABEP1,0.2857142857142857,0.19741100323624594,0.2099490795142969,0.15384615384615385,0.12324929971988796,0.039806996381182146,0.3395061728395062,0.21963028169014084,0.25,0.25
WAC-AS1,0.07142857142857142,0.11974110032362459,0.0809244026635331,0.07692307692307693,0.06722689075630252,0.020506634499396863,0.05555555555555555,0.07394366197183098,0.06896551724137931,0.09375
IDS,0.25,0.5922330097087378,0.25765765765765763,0.38461538461538464,0.36694677871148457,0.08323281061519903,0.35802469135802467,0.48327464788732394,0.3706896551724138,0.65625
HSPBP1,0.03571428571428571,0.35275080906148865,0.0945554249902076,0.0,0.08123249299719888,0.009650180940892641,0.2345679012345679,0.13996478873239437,0.0603448275862069,0.03125
SLA2,0.0,0.003236245954692557,0.003995299647473561,0.0,0.39775910364145656,0.0,0.030864197530864196,0.3089788732394366,0.0,0.25
STK11,0.0,0.22330097087378642,0.06666666666666667,0.0,0.036414565826330535,0.008443908323281062,0.07407407407407407,0.06910211267605634,0.05172413793103448,0.09375
AGAP5,0.0,0.016181229773462782,0.013160987074030552,0.0,0.014005602240896359,0.0036188178528347406,0.024691358024691357,0.011003521126760563,0.0,0.0
MRFAP1L1,0.17857142857142858,0.2524271844660194,0.0736388562475519,0.0,0.20728291316526612,0.015681544028950542,0.3148148148148148,0.28125,0.10344827586206896,0.15625
EIF5A2,0.03571428571428571,0.022653721682847898,0.031335683509596556,0.0,0.06442577030812324,0.009650180940892641,0.06172839506172839,0.06602112676056338,0.034482758620689655,0.0
AVEN,0.0,0.07119741100323625,0.01527614571092832,0.0,0.011204481792717087,0.0012062726176115801,0.09259259259259259,0.028609154929577465,0.05172413793103448,0.0
MOB1A,0.6785714285714286,0.5857605177993528,0.7772816294555425,0.38461538461538464,0.48739495798319327,0.353437876960193,0.5617283950617284,0.5418133802816901,0.8275862068965517,0.78125
TRAF3,0.25,0.1650485436893204,0.14774774774774774,0.0,0.07282913165266107,0.05669481302774427,0.24691358024691357,0.1813380281690141,0.1810344827586207,0.1875
PCMTD1,0.35714285714285715,0.3656957928802589,0.1445358401880141,0.15384615384615385,0.17086834733893558,0.04945717732207479,0.2777777777777778,0.17781690140845072,0.29310344827586204,0.15625
PSMG3-AS1,0.0,0.07119741100323625,0.008303956130043087,0.0,0.011204481792717087,0.0036188178528347406,0.06172839506172839,0.02068661971830986,0.008620689655172414,0.0
DESI2,0.10714285714285714,0.2783171521035599,0.13427340383862124,0.0,0.09523809523809523,0.024125452352231604,0.25308641975308643,0.19630281690140844,0.13793103448275862,0.1875
