,B,Epithelial,Macrophages,NK,Plasma,T,mDC,pDC
PSTK,0.0,0.07692307692307693,0.01680353758686039,0.0,0.0,0.014705882352941176,0.0,0.0
PSMA4,0.4,0.5384615384615384,0.6514213518635502,0.2,0.0,0.5,0.3217391304347826,0.3333333333333333
RIC1,0.06666666666666667,0.0,0.027416298168035376,0.0,0.0,0.022058823529411766,0.021739130434782608,0.0
ZBTB9,0.0,0.0,0.005306380290587492,0.0,0.0,0.0,0.004347826086956522,0.0
ATP5PD,0.2,0.5384615384615384,0.7134554643082754,0.2,0.0,0.4742647058823529,0.33043478260869563,0.6666666666666666
TLE4,0.26666666666666666,0.07692307692307693,0.10448515476942515,0.0,0.0,0.06985294117647059,0.05652173913043478,0.0
TBC1D13,0.0,0.0,0.027163613392293114,0.0,0.0,0.007352941176470588,0.013043478260869565,0.0
TIMM8B,0.06666666666666667,0.7692307692307693,0.5077700568540745,0.0,0.0,0.3161764705882353,0.21739130434782608,0.0
THUMPD3,0.06666666666666667,0.15384615384615385,0.09172457359444093,0.0,0.0,0.07720588235294118,0.05217391304347826,0.0
DDX60L,0.13333333333333333,0.15384615384615385,0.17586860391661402,0.0,0.0,0.125,0.02608695652173913,0.3333333333333333
