,B,Epithelial,Macrophages,NK,T,mDC,pDC
LINC01504,0.0,0.0,0.029208107767845902,0.0,0.018867924528301886,0.017391304347826087,0.0
TRIM21,0.2,0.0,0.04028704519702883,0.0,0.07547169811320754,0.008695652173913044,0.0
NAMPT,0.0,0.12121212121212122,0.29296235679214405,1.0,0.2830188679245283,0.1391304347826087,0.6666666666666666
CAMTA2,0.0,0.030303030303030304,0.028326828654160897,0.0,0.0,0.017391304347826087,0.0
C2ORF74,0.0,0.030303030303030304,0.061060052876746825,0.0,0.03773584905660377,0.0,0.0
FAM13B,0.0,0.12121212121212122,0.04129422132695455,0.0,0.03773584905660377,0.05217391304347826,0.3333333333333333
LINC00324,0.0,0.0,0.020898904695958707,0.0,0.03773584905660377,0.008695652173913044,0.3333333333333333
NCDN,0.0,0.030303030303030304,0.005665365730832179,0.0,0.0,0.0,0.0
AFTPH,0.2,0.12121212121212122,0.06395568425028327,0.0,0.07547169811320754,0.008695652173913044,0.3333333333333333
GFPT1,0.2,0.2727272727272727,0.04859624826891603,0.0,0.018867924528301886,0.034782608695652174,0.3333333333333333
FUT8,0.0,0.030303030303030304,0.015485332997607957,1.0,0.018867924528301886,0.0,0.3333333333333333
MIR155HG,0.0,0.0,0.015863024046330103,0.0,0.03773584905660377,0.043478260869565216,0.0
ZCCHC10,0.0,0.12121212121212122,0.14553695077426665,0.0,0.18867924528301888,0.09565217391304348,0.3333333333333333
EXD3,0.0,0.0,0.011204834445423643,0.0,0.018867924528301886,0.008695652173913044,0.0
ARHGAP4,0.2,0.0,0.043938058668009566,0.0,0.03773584905660377,0.043478260869565216,0.0
LGALS8,0.0,0.09090909090909091,0.06609593352637542,0.0,0.05660377358490566,0.034782608695652174,0.3333333333333333
AC017083.1,0.0,0.030303030303030304,0.004532292584665743,1.0,0.0,0.0,0.0
ABHD6,0.0,0.0,0.015611230013848672,0.0,0.0,0.0,0.0
BX537318.1,0.0,0.0,0.0030215283897771623,0.0,0.018867924528301886,0.0,0.0
RPL17,1.0,0.8484848484848485,0.9750723907843384,1.0,0.9245283018867925,0.991304347826087,1.0
FNTA,0.0,0.12121212121212122,0.09555583532670275,0.0,0.18867924528301888,0.043478260869565216,0.0
TFDP2,0.0,0.12121212121212122,0.04217550044063956,0.0,0.03773584905660377,0.017391304347826087,0.0
C19ORF24,0.2,0.24242424242424243,0.18242477653279618,1.0,0.22641509433962265,0.09565217391304348,0.6666666666666666
LILRA2,0.0,0.0,0.09832556968399848,0.0,0.05660377358490566,0.06956521739130435,0.3333333333333333
ZEB2-AS1,0.0,0.0,0.02794913760543875,0.0,0.05660377358490566,0.008695652173913044,0.0
ZNF701,0.0,0.030303030303030304,0.02052121364723656,0.0,0.018867924528301886,0.008695652173913044,0.0
LRIG2,0.0,0.0,0.01384867178647866,0.0,0.018867924528301886,0.0,0.0
PEF1,0.0,0.030303030303030304,0.05035880649628604,0.0,0.03773584905660377,0.034782608695652174,0.3333333333333333
SKA3,0.0,0.0,0.003902807503462168,0.0,0.11320754716981132,0.0,0.0
ZBED5,0.0,0.06060606060606061,0.046833690041546014,0.0,0.05660377358490566,0.017391304347826087,0.0
GPATCH8,0.0,0.030303030303030304,0.06294850812035754,0.0,0.07547169811320754,0.06086956521739131,0.0
ZNF333,0.0,0.0,0.014981744932645097,0.0,0.018867924528301886,0.008695652173913044,0.0
RCC1L,0.0,0.030303030303030304,0.017247891224977968,0.0,0.03773584905660377,0.0,0.0
SPRYD3,0.0,0.030303030303030304,0.02794913760543875,0.0,0.03773584905660377,0.008695652173913044,0.0
CASP9,0.0,0.030303030303030304,0.009568173234294347,0.0,0.0,0.0,0.0
CD27,0.0,0.0,0.0008812791136850056,0.0,0.0,0.0,0.0
PITHD1,0.0,0.06060606060606061,0.06269671408787612,1.0,0.07547169811320754,0.043478260869565216,0.0
HIST1H2AJ,0.0,0.0,0.0002517940324814302,0.0,0.03773584905660377,0.0,0.0
REEP6,0.0,0.030303030303030304,0.006546644844517185,0.0,0.0,0.0,0.0
ZNF407,0.0,0.06060606060606061,0.010701246380460784,0.0,0.0,0.008695652173913044,0.3333333333333333
SULT1A1,0.2,0.06060606060606061,0.07289437240337404,0.0,0.07547169811320754,0.02608695652173913,0.3333333333333333
MIEN1,0.2,0.21212121212121213,0.15195769860254313,0.0,0.22641509433962265,0.06956521739130435,0.0
ADAP2,0.4,0.09090909090909091,0.0742792395820219,0.0,0.09433962264150944,0.05217391304347826,0.0
HACD4,0.2,0.30303030303030304,0.19778421251416342,0.0,0.20754716981132076,0.16521739130434782,0.3333333333333333
MPHOSPH8,0.4,0.2727272727272727,0.2301397456880272,0.0,0.2830188679245283,0.13043478260869565,0.3333333333333333
VMO1,0.4,0.3939393939393939,0.46997356162658943,0.0,0.4339622641509434,0.23478260869565218,0.3333333333333333
DHRS4L2,0.0,0.18181818181818182,0.1193503713961979,0.0,0.16981132075471697,0.0782608695652174,0.0
LRRC57,0.0,0.030303030303030304,0.03285912123882664,0.0,0.09433962264150944,0.02608695652173913,0.0
ITGAM,0.0,0.0,0.057157245373284656,0.0,0.07547169811320754,0.02608695652173913,0.0
ZNF512,0.0,0.06060606060606061,0.016366612111292964,0.0,0.018867924528301886,0.017391304347826087,0.0
LY6E,0.4,0.3939393939393939,0.6109782198161904,0.0,0.7169811320754716,0.3652173913043478,1.0
PDCD4-AS1,0.0,0.0,0.008938688153090771,0.0,0.05660377358490566,0.0,0.0
MBD4,0.0,0.06060606060606061,0.08900919048218557,0.0,0.18867924528301888,0.09565217391304348,0.3333333333333333
WASHC1,0.0,0.06060606060606061,0.054009819967266774,0.0,0.03773584905660377,0.02608695652173913,0.0
PLEKHM1,0.0,0.030303030303030304,0.018380964371144403,0.0,0.018867924528301886,0.017391304347826087,0.0
IL1R1,0.0,0.0,0.0032733224222585926,0.0,0.0,0.017391304347826087,0.0
CLSTN1,0.2,0.2727272727272727,0.021654286793402998,0.0,0.03773584905660377,0.017391304347826087,0.0
TUSC1,0.0,0.0,0.014604053883922951,0.0,0.018867924528301886,0.0,0.0
TMEM267,0.0,0.030303030303030304,0.020647110663477276,0.0,0.018867924528301886,0.008695652173913044,0.0
ARAF,0.2,0.06060606060606061,0.04859624826891603,0.0,0.09433962264150944,0.034782608695652174,0.0
ACBD4,0.0,0.0,0.008812791136850056,0.0,0.018867924528301886,0.017391304347826087,0.0
PSMB4,0.0,0.18181818181818182,0.1742414704771497,0.0,0.16981132075471697,0.09565217391304348,0.0
NDUFA2,0.6,0.5151515151515151,0.49905577237819465,0.0,0.5283018867924528,0.30434782608695654,0.6666666666666666
ZBP1,0.0,0.0,0.010071761299257208,0.0,0.018867924528301886,0.008695652173913044,0.0
FOSL2,0.0,0.06060606060606061,0.05463930504847035,0.0,0.07547169811320754,0.02608695652173913,0.6666666666666666
CD37,0.2,0.2727272727272727,0.6350245499181669,1.0,0.6037735849056604,0.391304347826087,0.3333333333333333
RPS4X,1.0,0.9090909090909091,0.9904318267657056,1.0,1.0,0.991304347826087,1.0
NT5C3B,0.0,0.030303030303030304,0.03915397205086239,0.0,0.03773584905660377,0.017391304347826087,0.0
MRPL20,0.0,0.21212121212121213,0.3226740526249528,0.0,0.3584905660377358,0.23478260869565218,0.3333333333333333
RSL1D1,0.4,0.09090909090909091,0.2869193000125897,1.0,0.24528301886792453,0.19130434782608696,0.3333333333333333
PKP4,0.0,0.09090909090909091,0.0047840866171471735,0.0,0.018867924528301886,0.0,0.0
MARVELD1,0.4,0.030303030303030304,0.03827269293717739,0.0,0.03773584905660377,0.02608695652173913,0.0
GTF3C6,0.0,0.21212121212121213,0.1585043434470603,0.0,0.18867924528301888,0.06086956521739131,0.0
SC5D,0.0,0.06060606060606061,0.043308573586805996,0.0,0.05660377358490566,0.034782608695652174,0.0
RAD50,0.0,0.0,0.011456628477905073,0.0,0.0,0.017391304347826087,0.0
SMAD5,0.0,0.18181818181818182,0.07213899030592975,0.0,0.1509433962264151,0.0782608695652174,0.0
DLD,0.0,0.18181818181818182,0.13042930882538084,0.0,0.1320754716981132,0.08695652173913043,0.0
IL9R,0.0,0.0,0.001384867178647866,0.0,0.0,0.0,0.0
IL2RA,0.0,0.0,0.001258970162407151,0.0,0.0,0.0,0.0
SIKE1,0.0,0.06060606060606061,0.054513408032229635,0.0,0.1320754716981132,0.05217391304347826,0.0
CAPRIN1,0.0,0.3333333333333333,0.12149062067229006,0.0,0.16981132075471697,0.05217391304347826,0.3333333333333333
LMBR1L,0.0,0.0,0.02077300767971799,0.0,0.018867924528301886,0.017391304347826087,0.0
RNF41,0.0,0.0,0.0467077930253053,0.0,0.03773584905660377,0.0,0.0
WDR81,0.0,0.030303030303030304,0.024549918166939442,0.0,0.0,0.017391304347826087,0.0
THUMPD3-AS1,0.2,0.09090909090909091,0.10046581896009064,0.0,0.18867924528301888,0.05217391304347826,0.0
TJP2,0.0,0.15151515151515152,0.01901044945234798,0.0,0.018867924528301886,0.008695652173913044,0.0
DHRS12,0.0,0.06060606060606061,0.028578622686642328,0.0,0.018867924528301886,0.017391304347826087,0.3333333333333333
LAMTOR2,0.2,0.45454545454545453,0.4486969658819086,0.0,0.4716981132075472,0.24347826086956523,0.0
CMC1,0.0,0.030303030303030304,0.12816316253304796,1.0,0.16981132075471697,0.05217391304347826,0.0
FAM102B,0.2,0.0,0.04494523479793529,0.0,0.05660377358490566,0.043478260869565216,0.0
PDE6B,0.0,0.06060606060606061,0.00868689412060934,0.0,0.0,0.0,0.0
CSE1L,0.0,0.12121212121212122,0.05463930504847035,0.0,0.18867924528301888,0.02608695652173913,0.0
EIF4EBP1,0.2,0.06060606060606061,0.2136472365604935,0.0,0.39622641509433965,0.06956521739130435,0.3333333333333333
PBX2,0.0,0.0,0.01875865541986655,0.0,0.0,0.008695652173913044,0.0
KDM5B,0.0,0.21212121212121213,0.01359687775399723,0.0,0.018867924528301886,0.0,0.0
DZIP3,0.0,0.18181818181818182,0.013722774770237945,0.0,0.0,0.017391304347826087,0.3333333333333333
ACRBP,0.0,0.0,0.010197658315497923,0.0,0.0,0.008695652173913044,0.0
EBLN2,0.0,0.09090909090909091,0.005665365730832179,0.0,0.018867924528301886,0.008695652173913044,0.0
CRYBG1,0.0,0.0,0.06685131562381971,0.0,0.1509433962264151,0.02608695652173913,0.3333333333333333
FEZ2,0.0,0.12121212121212122,0.20697469469973562,0.0,0.18867924528301888,0.1391304347826087,0.3333333333333333
PFDN1,0.2,0.09090909090909091,0.28465315372025685,0.0,0.2641509433962264,0.17391304347826086,0.0
MRPS15,0.2,0.15151515151515152,0.22170464559989927,0.0,0.22641509433962265,0.1391304347826087,0.3333333333333333
EEF1B2,0.6,0.45454545454545453,0.7303285912123882,1.0,0.7735849056603774,0.6782608695652174,0.6666666666666666
PEX26,0.0,0.09090909090909091,0.031096563011456628,0.0,0.018867924528301886,0.008695652173913044,0.0
CCDC171,0.0,0.030303030303030304,0.006798438876998615,0.0,0.0,0.0,0.0
AC078846.1,0.0,0.06060606060606061,0.011204834445423643,0.0,0.0,0.008695652173913044,0.0
RHOBTB2,0.0,0.030303030303030304,0.01926224348482941,0.0,0.0,0.017391304347826087,0.0
PTCRA,0.0,0.0,0.056275966259599644,0.0,0.09433962264150944,0.017391304347826087,0.0
LAPTM5,0.8,0.3939393939393939,0.8038524486969659,0.0,0.8867924528301887,0.6347826086956522,1.0
ZWILCH,0.0,0.030303030303030304,0.010449452347979353,0.0,0.1320754716981132,0.0,0.0
GALM,0.0,0.0,0.022787359939569433,0.0,0.03773584905660377,0.0,0.0
MINCR,0.0,0.0,0.013219186705275086,0.0,0.0,0.017391304347826087,0.0
GRN,1.0,0.7272727272727273,0.9711695832808762,0.0,0.9245283018867925,0.8695652173913043,1.0
SERBP1,0.2,0.30303030303030304,0.36547903814679594,0.0,0.5283018867924528,0.17391304347826086,0.3333333333333333
ERRFI1,0.0,0.06060606060606061,0.015107641948885812,0.0,0.0,0.0,0.0
FBXO10,0.0,0.030303030303030304,0.007427923958202191,0.0,0.0,0.0,0.0
BROX,0.0,0.06060606060606061,0.09694070250535063,0.0,0.11320754716981132,0.02608695652173913,0.3333333333333333
ARIH2,0.0,0.09090909090909091,0.05489109908095178,0.0,0.09433962264150944,0.034782608695652174,0.0
CDKL3,0.0,0.0,0.011708422510386503,0.0,0.018867924528301886,0.017391304347826087,0.0
STIM1,0.2,0.06060606060606061,0.04796676318771245,0.0,0.07547169811320754,0.02608695652173913,0.3333333333333333
ANAPC7,0.2,0.06060606060606061,0.05426161399974821,0.0,0.018867924528301886,0.02608695652173913,0.0
HMGN1,0.4,0.48484848484848486,0.43572957320911493,0.0,0.49056603773584906,0.23478260869565218,0.3333333333333333
RBMXL1,0.0,0.030303030303030304,0.046078307944101726,0.0,0.1320754716981132,0.017391304347826087,0.3333333333333333
SMUG1,0.0,0.030303030303030304,0.04708548407402745,0.0,0.03773584905660377,0.008695652173913044,0.0
ASCL2,0.0,0.030303030303030304,0.01359687775399723,0.0,0.05660377358490566,0.034782608695652174,0.0
ITPR2,0.2,0.0,0.11217424147047715,0.0,0.1320754716981132,0.06956521739130435,0.6666666666666666
YPEL1,0.0,0.0,0.002643837341055017,0.0,0.018867924528301886,0.0,0.0
ANAPC13,0.2,0.21212121212121213,0.11821729825003148,0.0,0.16981132075471697,0.02608695652173913,0.0
VSIG4,0.8,0.2727272727272727,0.7284401359687775,1.0,0.6037735849056604,0.5130434782608696,0.6666666666666666
CD55,0.0,0.09090909090909091,0.09240840992068489,0.0,0.09433962264150944,0.034782608695652174,0.3333333333333333
PPAN,0.2,0.09090909090909091,0.029963489865290193,0.0,0.05660377358490566,0.043478260869565216,0.0
BCL2L11,0.0,0.06060606060606061,0.0200176255822737,0.0,0.0,0.008695652173913044,0.0
TAF2,0.0,0.030303030303030304,0.027067858491753746,0.0,0.09433962264150944,0.017391304347826087,0.0
